CLUSTER ID,REMARKS
3,move to suspect
9,delete
18,delete
33,delete
46,move to suspect
54,delete
58,delete
59,delete
70,delete
72,delete
82,move to suspect
98,delete
110,delete
120,delete
126,delete
147,delete
159,delete
161,move to suspect
172,delete
173,delete
183,delete
185,delete
186,delete
199,move to suspect
231,delete
269,delete
282,delete 3rd pic alone
312,delete
315,delete
317,delete
322,delete
332,delete
343,delete
352,move to suspect
357,delete
369,delete
377,delete
395,move to suspect
398,move to suspect
402,move to suspect
405,move to suspect
404,move to suspect
413,delete
416,move to suspect
418,delete
422,move to suspect
423,delete
457,delete
473,delete
481,delete
491,delete
502,move to suspect
526,delete
